Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Elliptical duration (ms),Martial arts duration (ms),Rock climbing duration (ms),Cross-country skiing duration (ms),Swimming duration (ms),Treadmill walking duration (ms),Other duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms)
2020-01-21,135,1615.8906259536743,8074.818363547325,15.0,15,81.1400277970813,130.0,41.0,,,,,,,,11902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,165,2126.484375476837,10153.6321028471,15.0,15,83.82974287699791,194.0,50.0,,,,,,,,14750,,,,,,,,,,,,,,,,,,,,,13920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720000,,,,,,,,,,,,,,,
2020-01-23,90,1002.0781254768372,4389.514345288277,,,77.38682745825604,134.0,48.0,,,,,,,,6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22080000,,,,,,,,,,,,,,,
2020-01-24,150,1771.2968759536743,8000.1598341465,,,97.64086687306502,205.0,60.0,,,,,,,,11694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11340000,,,,,,,,,,,,,
2020-01-25,100,1125.1875,5643.271417498589,,,77.82416666666667,127.0,50.0,,,,,,,,8414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22020000,,,,,,,,,,,,,
2020-01-26,44,342.296875,1963.8405367136002,,,89.67029548989113,129.0,53.0,,,,,,,,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,195,2197.1874990463257,10551.387532830238,15.0,15,87.0221119133574,204.0,47.0,,,,,,,,15316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,90,718.0,4253.906190633774,,,91.72773279352226,126.0,62.0,,,,,,,,6162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,120,1815.890619277954,7536.138228654861,15.0,15,90.79,208.0,55.0,,,,,,,,11128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,90,1418.7812385559082,6372.05718767643,,,80.84607366226547,133.0,47.0,,,,,,,,9516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5580000,,,,15540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,165,2208.0781116485596,8973.729170203209,,,83.3815149409312,202.0,47.0,,,,,,,,13286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18660000,,,,4560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,99,1342.671859741211,6933.5380293130875,,,75.83703961084086,161.0,46.0,,,,,,,,10254,,,,,,,,,,,,,,,,,8940000,,,,,,,,,,,,,,,,,,,,,,,,,20760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,45,1293.7812519073486,4363.540295004845,,,75.37387074357193,131.0,46.0,,,,,,,,6572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25860000,,,,,,,,,,,,,9240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,135,1882.0781259536743,11240.704384088516,45.0,30,77.93328700486448,197.0,43.0,,,,,,,,14252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18420000,,,,,,,,,,,,,9780000,,,,,,,,,,,,,,,,
2020-02-04,105,959.4843735694885,5348.630201101303,,,74.81837160751566,130.0,43.0,,,,,,,,7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21900000,,,,,,,,,,,,,,,,
2020-02-05,135,1290.0,7609.7364691495895,,,87.010348583878,134.0,55.0,,,,,,,,11370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
